"BAnTr","coding.noncoding"
"BAnTr.GP.1HG000234","noncoding"
"BAnTr.GP.1HG000236","coding"
"BAnTr.GP.1HG000238","coding"
"BAnTr.GP.1HG000240","coding"
"BAnTr.GP.1HG000242","coding"
"BAnTr.GP.1HG000244","coding"
"BAnTr.GP.1HG000246","coding"
"BAnTr.GP.1HG000248","coding"
"BAnTr.GP.1HG000250","coding"
"BAnTr.GP.1HG000252","coding"
"BAnTr.GP.1HG000254","coding"
"BAnTr.GP.1HG000256","coding"
"BAnTr.GP.1HG000258","coding"
"BAnTr.GP.1HG000260","noncoding"
"BAnTr.GP.1HG000262","coding"
"BAnTr.GP.1HG000264","noncoding"
"BAnTr.GP.1HG000266","coding"
"BAnTr.GP.1HG000268","coding"
"BAnTr.GP.1HG000270","coding"
"BAnTr.GP.1HG000272","coding"
"BAnTr.GP.1HG000274","undefined"
"BAnTr.GP.1HG000276","coding"
"BAnTr.GP.1HG000278","coding"
"BAnTr.GP.1HG000280","noncoding"
"BAnTr.GP.1HG000282","noncoding"
"BAnTr.GP.1HG000284","coding"
"BAnTr.GP.1HG000286","noncoding"
"BAnTr.GP.1HG000288","coding"
"BAnTr.GP.1HG000290","coding"
"BAnTr.GP.1HG000292","coding"
"BAnTr.GP.1HG000294","coding"
"BAnTr.GP.1HG000296","coding"
"BAnTr.GP.1HG000298","coding"
"BAnTr.GP.1HG000300","noncoding"
"BAnTr.GP.1HG000302","noncoding"
"BAnTr.GP.1HG000304","coding"
"BAnTr.GP.1HG000306","noncoding"
"BAnTr.GP.1HG000308","coding"
"BAnTr.GP.1HG000310","noncoding"
"BAnTr.GP.1HG000312","coding"
"BAnTr.GP.1HG000314","noncoding"
"BAnTr.GP.1HG000316","coding"
"BAnTr.GP.1HG000318","coding"
"BAnTr.GP.1HG000320","coding"
"BAnTr.GP.1HG000322","undefined"
"BAnTr.GP.1HG000324","coding"
"BAnTr.GP.1HG000326","noncoding"
"BAnTr.GP.1HG000328","coding"
"BAnTr.GP.1HG000330","coding"
"BAnTr.GP.1HG000332","coding"
"BAnTr.GP.1HG000334","coding"
"BAnTr.GP.1HG000336","coding"
"BAnTr.GP.1HG000338","coding"
"BAnTr.GP.1HG000340","coding"
"BAnTr.GP.1HG000342","coding"
"BAnTr.GP.1HG000344","coding"
"BAnTr.GP.1HG000346","noncoding"
"BAnTr.GP.1HG000348","noncoding"
"BAnTr.GP.1HG000350","coding"
"BAnTr.GP.1HG000352","noncoding"
"BAnTr.GP.1HG000354","noncoding"
"BAnTr.GP.1HG000356","coding"
"BAnTr.GP.1HG000358","coding"
"BAnTr.GP.1HG000360","noncoding"
"BAnTr.GP.1HG000362","coding"
"BAnTr.GP.1HG000364","coding"
"BAnTr.GP.1HG000366","undefined"
"BAnTr.GP.1HG000368","coding"
"BAnTr.GP.1HG000370","coding"
"BAnTr.GP.1HG000372","coding"
"BAnTr.GP.1HG000374","coding"
"BAnTr.GP.1HG000376","coding"
"BAnTr.GP.1HG000378","coding"
"BAnTr.GP.1HG000380","coding"
"BAnTr.GP.1HG000382","noncoding"
"BAnTr.GP.1HG000384","coding"
"BAnTr.GP.1HG000386","noncoding"
"BAnTr.GP.1HG000388","coding"
"BAnTr.GP.1HG000390","coding"
"BAnTr.GP.1HG000392","coding"
"BAnTr.GP.1HG000394","coding"
"BAnTr.GP.1HG000396","coding"
"BAnTr.GP.1HG000398","coding"
"BAnTr.GP.1HG000400","noncoding"
"BAnTr.GP.1HG000402","coding"
"BAnTr.GP.1HG000404","coding"
"BAnTr.GP.1HG000406","coding"
"BAnTr.GP.1HG000408","coding"
"BAnTr.GP.1HG000410","coding"
"BAnTr.GP.1HG000412","coding"
"BAnTr.GP.1HG000414","noncoding"
"BAnTr.GP.1HG000416","coding"
"BAnTr.GP.1HG000418","coding"
"BAnTr.GP.1HG000420","coding"
"BAnTr.GP.1HG000422","coding"
"BAnTr.GP.1HG000424","noncoding"
"BAnTr.GP.1HG000426","noncoding"
"BAnTr.GP.1HG000428","noncoding"
"BAnTr.GP.1HG000430","coding"
"BAnTr.GP.1HG000432","coding"
"BAnTr.GP.1HG000434","coding"
"BAnTr.GP.1HG000436","noncoding"
"BAnTr.GP.1HG000438","coding"
"BAnTr.GP.1HG000440","noncoding"
"BAnTr.GP.1HG000442","coding"
"BAnTr.GP.1HG000444","noncoding"
"BAnTr.GP.1HG000446","noncoding"
"BAnTr.GP.1HG000448","coding"
"BAnTr.GP.1HG000450","coding"
"BAnTr.GP.1HG000452","coding"
"BAnTr.GP.1HG000454","coding"
"BAnTr.GP.1HG000456","undefined"
"BAnTr.GP.1HG000458","coding"
"BAnTr.GP.1HG000460","coding"
"BAnTr.GP.1HG000462","coding"
"BAnTr.GP.1HG000464","coding"
"BAnTr.GP.1HG000466","noncoding"
"BAnTr.GP.1HG000468","noncoding"
"BAnTr.GP.1HG000470","coding"
"BAnTr.GP.1HG000472","coding"
"BAnTr.GP.1HG000474","coding"
"BAnTr.GP.1HG000476","noncoding"
"BAnTr.GP.1HG000478","coding"
"BAnTr.GP.1HG000480","noncoding"
"BAnTr.GP.1HG000482","noncoding"
"BAnTr.GP.1HG000484","coding"
"BAnTr.GP.1HG000486","coding"
"BAnTr.GP.1HG000488","noncoding"
"BAnTr.GP.1HG000490","coding"
"BAnTr.GP.1HG000492","coding"
"BAnTr.GP.1HG000494","coding"
"BAnTr.GP.1HG000496","coding"
"BAnTr.GP.1HG000498","noncoding"
"BAnTr.GP.1HG000500","noncoding"
"BAnTr.GP.1HG000502","coding"
"BAnTr.GP.1HG000504","coding"
"BAnTr.GP.1HG000506","noncoding"
"BAnTr.GP.1HG000508","noncoding"
"BAnTr.GP.1HG000510","coding"
"BAnTr.GP.1HG000512","coding"
"BAnTr.GP.1HG000514","coding"
"BAnTr.GP.1HG000516","coding"
"BAnTr.GP.1HG000518","coding"
"BAnTr.GP.1HG000520","undefined"
"BAnTr.GP.1HG000522","coding"
"BAnTr.GP.1HG000524","undefined"
"BAnTr.GP.1HG000526","undefined"
"BAnTr.GP.1HG000528","coding"
"BAnTr.GP.1HG000530","coding"
"BAnTr.GP.1HG000532","coding"
"BAnTr.GP.1HG000534","coding"
"BAnTr.GP.1HG000536","noncoding"
"BAnTr.GP.1HG000538","coding"
"BAnTr.GP.1HG000540","noncoding"
"BAnTr.GP.1HG000542","coding"
"BAnTr.GP.1HG000544","coding"
"BAnTr.GP.1HG000546","noncoding"
"BAnTr.GP.1HG000548","noncoding"
"BAnTr.GP.1HG000550","coding"
"BAnTr.GP.1HG000552","noncoding"
"BAnTr.GP.1HG000554","coding"
"BAnTr.GP.1HG000556","coding"
"BAnTr.GP.1HG000558","noncoding"
"BAnTr.GP.1HG000560","noncoding"
"BAnTr.GP.1HG000562","noncoding"
"BAnTr.GP.1HG000564","coding"
"BAnTr.GP.1HG000566","noncoding"
"BAnTr.GP.1HG000568","noncoding"
"BAnTr.GP.1HG000570","coding"
"BAnTr.GP.1HG000572","coding"
"BAnTr.GP.1HG000574","coding"
"BAnTr.GP.1HG000576","coding"
"BAnTr.GP.1HG000578","coding"
"BAnTr.GP.1HG000580","coding"
"BAnTr.GP.1HG000582","noncoding"
"BAnTr.GP.1HG000584","coding"
"BAnTr.GP.1HG000586","undefined"
"BAnTr.GP.1HG000588","coding"
"BAnTr.GP.1HG000590","noncoding"
"BAnTr.GP.1HG000592","coding"
"BAnTr.GP.1HG000594","noncoding"
"BAnTr.GP.1HG000596","coding"
"BAnTr.GP.1HG000598","noncoding"
"BAnTr.GP.1HG000600","coding"
"BAnTr.GP.1HG000602","coding"
"BAnTr.GP.1HG000604","coding"
"BAnTr.GP.1HG000606","coding"
"BAnTr.GP.1HG000608","coding"
"BAnTr.GP.1HG000610","noncoding"
"BAnTr.GP.1HG000612","undefined"
"BAnTr.GP.1HG000614","coding"
"BAnTr.GP.1HG000616","coding"
"BAnTr.GP.1HG000618","coding"
"BAnTr.GP.1HG000620","coding"
"BAnTr.GP.1HG000622","coding"
"BAnTr.GP.1HG000624","noncoding"
"BAnTr.GP.1HG000626","noncoding"
"BAnTr.GP.1HG000628","coding"
"BAnTr.GP.1HG000630","noncoding"
"BAnTr.GP.1HG000632","coding"
"BAnTr.GP.1HG000634","noncoding"
"BAnTr.GP.1HG000636","coding"
"BAnTr.GP.1HG000638","coding"
"BAnTr.GP.1HG000640","noncoding"
"BAnTr.GP.1HG000642","noncoding"
"BAnTr.GP.1HG000644","coding"
"BAnTr.GP.1HG000646","noncoding"
"BAnTr.GP.1HG000648","noncoding"
"BAnTr.GP.1HG000650","noncoding"
"BAnTr.GP.1HG000652","noncoding"
"BAnTr.GP.1HG000654","undefined"
"BAnTr.GP.1HG000656","noncoding"
"BAnTr.GP.1HG000658","coding"
"BAnTr.GP.1HG000660","coding"
"BAnTr.GP.1HG000662","coding"
"BAnTr.GP.1HG000664","coding"
"BAnTr.GP.1HG000666","coding"
"BAnTr.GP.1HG000668","coding"
"BAnTr.GP.1HG000670","noncoding"
"BAnTr.GP.1HG000672","coding"
"BAnTr.GP.1HG000674","noncoding"
"BAnTr.GP.1HG000676","coding"
"BAnTr.GP.1HG000678","coding"
"BAnTr.GP.1HG000680","coding"
"BAnTr.GP.1HG000682","noncoding"
"BAnTr.GP.1HG000684","coding"
"BAnTr.GP.1HG000686","noncoding"
"BAnTr.GP.1HG000688","noncoding"
"BAnTr.GP.1HG000690","noncoding"
"BAnTr.GP.1HG000692","noncoding"
"BAnTr.GP.1HG000694","noncoding"
"BAnTr.GP.1HG000696","noncoding"
"BAnTr.GP.1HG000698","noncoding"
"BAnTr.GP.1HG000700","noncoding"
"BAnTr.GP.1HG000702","noncoding"
"BAnTr.GP.1HG000704","undefined"
"BAnTr.GP.1HG000706","noncoding"
"BAnTr.GP.1HG000708","coding"
"BAnTr.GP.1HG000710","coding"
"BAnTr.GP.1HG000712","coding"
"BAnTr.GP.1HG000714","noncoding"
"BAnTr.GP.1HG000716","coding"
"BAnTr.GP.1HG000718","coding"
"BAnTr.GP.1HG000720","noncoding"
"BAnTr.GP.1HG000722","coding"
"BAnTr.GP.1HG000724","noncoding"
"BAnTr.GP.1HG000726","noncoding"
"BAnTr.GP.1HG000728","coding"
"BAnTr.GP.1HG000730","coding"
"BAnTr.GP.1HG000732","coding"
"BAnTr.GP.1HG000734","coding"
"BAnTr.GP.1HG000736","coding"
"BAnTr.GP.1HG000738","noncoding"
"BAnTr.GP.1HG000740","noncoding"
"BAnTr.GP.1HG000742","coding"
"BAnTr.GP.1HG000744","noncoding"
"BAnTr.GP.1HG000746","undefined"
"BAnTr.GP.1HG000748","noncoding"
"BAnTr.GP.1HG000750","noncoding"
"BAnTr.GP.1HG000752","noncoding"
"BAnTr.GP.1HG000754","coding"
"BAnTr.GP.1HG000756","coding"
"BAnTr.GP.1HG000758","coding"
"BAnTr.GP.1HG000760","noncoding"
"BAnTr.GP.1HG000762","coding"
"BAnTr.GP.1HG000764","coding"
"BAnTr.GP.1HG000766","undefined"
"BAnTr.GP.1HG000768","coding"
"BAnTr.GP.1HG000770","coding"
"BAnTr.GP.1HG000772","noncoding"
"BAnTr.GP.1HG000774","noncoding"
"BAnTr.GP.1HG000776","noncoding"
"BAnTr.GP.1HG000778","coding"
"BAnTr.GP.1HG000780","noncoding"
"BAnTr.GP.1HG000782","noncoding"
"BAnTr.GP.1HG000784","noncoding"
"BAnTr.GP.1HG000786","noncoding"
"BAnTr.GP.1HG000788","noncoding"
"BAnTr.GP.1HG000790","noncoding"
"BAnTr.GP.1HG000792","noncoding"
"BAnTr.GP.1HG000794","noncoding"
"BAnTr.GP.1HG000796","noncoding"
"BAnTr.GP.1HG000798","noncoding"
"BAnTr.GP.1HG000800","noncoding"
"BAnTr.GP.1HG000802","noncoding"
"BAnTr.GP.1HG000804","noncoding"
"BAnTr.GP.1HG000806","noncoding"
"BAnTr.GP.1HG000808","noncoding"
"BAnTr.GP.1HG000810","noncoding"
"BAnTr.GP.1HG000812","noncoding"
"BAnTr.GP.1HG000814","noncoding"
"BAnTr.GP.1HG000816","noncoding"
"BAnTr.GP.1HG000818","noncoding"
"BAnTr.GP.1HG000820","noncoding"
"BAnTr.GP.1HG000822","undefined"
"BAnTr.GP.1HG000824","noncoding"
"BAnTr.GP.1HG000826","noncoding"
"BAnTr.GP.1HG000828","coding"
"BAnTr.GP.1HG000830","noncoding"
"BAnTr.GP.1HG000832","coding"
"BAnTr.GP.1HG000834","undefined"
"BAnTr.GP.1HG000836","noncoding"
"BAnTr.GP.1HG000838","noncoding"
"BAnTr.GP.1HG000840","noncoding"
"BAnTr.GP.1HG000842","coding"
"BAnTr.GP.1HG000844","noncoding"
"BAnTr.GP.1HG000846","undefined"
"BAnTr.GP.1HG000848","undefined"
"BAnTr.GP.1HG000850","coding"
"BAnTr.GP.1HG000852","coding"
"BAnTr.GP.1HG000854","noncoding"
"BAnTr.GP.1HG000856","coding"
"BAnTr.GP.1HG000858","coding"
"BAnTr.GP.1HG000860","coding"
"BAnTr.GP.1HG000862","noncoding"
"BAnTr.GP.1HG000864","noncoding"
"BAnTr.GP.1HG000866","coding"
"BAnTr.GP.1HG000868","coding"
"BAnTr.GP.1HG000870","coding"
"BAnTr.GP.1HG000872","coding"
"BAnTr.GP.1HG000874","coding"
"BAnTr.GP.1HG000876","noncoding"
"BAnTr.GP.1HG000878","noncoding"
"BAnTr.GP.1HG000880","coding"
"BAnTr.GP.1HG000882","coding"
"BAnTr.GP.1HG000884","noncoding"
"BAnTr.GP.1HG000886","coding"
"BAnTr.GP.1HG000888","coding"
"BAnTr.GP.1HG000890","noncoding"
"BAnTr.GP.1HG000892","coding"
"BAnTr.GP.1HG000894","coding"
"BAnTr.GP.1HG000896","coding"
"BAnTr.GP.1HG000898","noncoding"
"BAnTr.GP.1HG000900","undefined"
"BAnTr.GP.1HG000902","coding"
"BAnTr.GP.1HG000904","noncoding"
"BAnTr.GP.1HG000906","undefined"
"BAnTr.GP.1HG000908","coding"
"BAnTr.GP.1HG000910","noncoding"
"BAnTr.GP.1HG000912","coding"
"BAnTr.GP.1HG000914","coding"
"BAnTr.GP.1HG000916","coding"
"BAnTr.GP.1HG000918","coding"
"BAnTr.GP.1HG000920","noncoding"
"BAnTr.GP.1HG000922","noncoding"
"BAnTr.GP.1HG000924","noncoding"
"BAnTr.GP.1HG000926","noncoding"
"BAnTr.GP.1HG000928","noncoding"
"BAnTr.GP.1HG000930","noncoding"
"BAnTr.GP.1HG000932","noncoding"
"BAnTr.GP.1HG000934","noncoding"
"BAnTr.GP.1HG000936","noncoding"
"BAnTr.GP.1HG000938","noncoding"
"BAnTr.GP.1HG000940","noncoding"
"BAnTr.GP.1HG000942","undefined"
"BAnTr.GP.1HG000944","noncoding"
"BAnTr.GP.1HG000946","noncoding"
"BAnTr.GP.1HG000948","coding"
"BAnTr.GP.1HG000950","coding"
"BAnTr.GP.1HG000952","noncoding"
"BAnTr.GP.1HG000954","noncoding"
"BAnTr.GP.1HG000956","noncoding"
"BAnTr.GP.1HG000958","noncoding"
"BAnTr.GP.1HG000960","noncoding"
"BAnTr.GP.1HG000962","noncoding"
"BAnTr.GP.1HG000964","noncoding"
"BAnTr.GP.1HG000966","noncoding"
"BAnTr.GP.1HG000968","coding"
"BAnTr.GP.1HG000970","noncoding"
"BAnTr.GP.1HG000972","coding"
"BAnTr.GP.1HG000974","coding"
"BAnTr.GP.1HG000976","noncoding"
"BAnTr.GP.1HG000978","noncoding"
"BAnTr.GP.1HG000980","noncoding"
"BAnTr.GP.1HG000982","noncoding"
"BAnTr.GP.1HG000984","noncoding"
"BAnTr.GP.1HG000986","noncoding"
"BAnTr.GP.1HG000988","noncoding"
"BAnTr.GP.1HG000990","coding"
"BAnTr.GP.1HG000992","noncoding"
"BAnTr.GP.1HG000994","noncoding"
"BAnTr.GP.1HG000996","coding"
"BAnTr.GP.1HG000998","noncoding"
"BAnTr.GP.1HG001000","undefined"
"BAnTr.GP.1HG001002","noncoding"
"BAnTr.GP.1HG001004","coding"
"BAnTr.GP.1HG001006","coding"
"BAnTr.GP.1HG001008","noncoding"
"BAnTr.GP.1HG001010","noncoding"
"BAnTr.GP.1HG001012","noncoding"
"BAnTr.GP.1HG001014","undefined"
"BAnTr.GP.1HG001016","noncoding"
"BAnTr.GP.1HG001018","coding"
"BAnTr.GP.1HG001020","noncoding"
"BAnTr.GP.1HG001022","noncoding"
"BAnTr.GP.1HG001024","undefined"
"BAnTr.GP.1HG001026","undefined"
"BAnTr.GP.1HG001028","noncoding"
"BAnTr.GP.1HG001030","noncoding"
"BAnTr.GP.1HG001032","noncoding"
"BAnTr.GP.1HG001034","noncoding"
"BAnTr.GP.1HG001036","noncoding"
"BAnTr.GP.1HG001038","noncoding"
"BAnTr.GP.1HG001040","undefined"
"BAnTr.GP.1HG001042","undefined"
"BAnTr.GP.1HG001044","coding"
"BAnTr.GP.1HG001046","noncoding"
"BAnTr.GP.1HG001048","coding"
"BAnTr.GP.1HG001050","coding"
"BAnTr.GP.1HG001052","coding"
"BAnTr.GP.1HG001054","noncoding"
"BAnTr.GP.1HG001056","noncoding"
"BAnTr.GP.1HG001058","noncoding"
"BAnTr.GP.1HG001060","coding"
"BAnTr.GP.1HG001062","coding"
"BAnTr.GP.1HG001064","coding"
"BAnTr.GP.1HG001066","coding"
"BAnTr.GP.1HG001068","coding"
"BAnTr.GP.1HG001070","noncoding"
"BAnTr.GP.1HG001072","coding"
"BAnTr.GP.1HG001074","coding"
"BAnTr.GP.1HG001076","coding"
"BAnTr.GP.1HG001078","coding"
"BAnTr.GP.1HG001080","noncoding"
"BAnTr.GP.1HG001082","coding"
"BAnTr.GP.1HG001084","coding"
"BAnTr.GP.1HG001086","coding"
"BAnTr.GP.1HG001088","coding"
"BAnTr.GP.1HG001090","undefined"
"BAnTr.GP.1HG001092","noncoding"
"BAnTr.GP.1HG001094","undefined"
"BAnTr.GP.1HG001096","noncoding"
"BAnTr.GP.1HG001098","noncoding"
"BAnTr.GP.1HG001100","noncoding"
"BAnTr.GP.1HG001102","noncoding"
"BAnTr.GP.1HG001104","noncoding"
"BAnTr.GP.1HG001106","noncoding"
"BAnTr.GP.1HG001108","coding"
"BAnTr.GP.1HG001110","coding"
"BAnTr.GP.1HG001112","coding"
"BAnTr.GP.1HG001114","coding"
"BAnTr.GP.1HG001116","noncoding"
"BAnTr.GP.1HG001118","noncoding"
"BAnTr.GP.1HG001120","noncoding"
"BAnTr.GP.1HG001122","noncoding"
"BAnTr.GP.1HG001124","noncoding"
"BAnTr.GP.1HG001126","noncoding"
"BAnTr.GP.1HG001128","coding"
"BAnTr.GP.1HG001130","coding"
"BAnTr.GP.1HG001132","coding"
"BAnTr.GP.1HG001134","coding"
"BAnTr.GP.1HG001136","coding"
"BAnTr.GP.1HG001138","noncoding"
"BAnTr.GP.1HG001140","noncoding"
"BAnTr.GP.1HG001142","noncoding"
"BAnTr.GP.1HG001144","coding"
"BAnTr.GP.1HG001146","coding"
"BAnTr.GP.1HG001148","noncoding"
"BAnTr.GP.1HG001150","noncoding"
"BAnTr.GP.1HG001152","noncoding"
"BAnTr.GP.1HG001154","noncoding"
"BAnTr.GP.1HG001156","undefined"
"BAnTr.GP.1HG001158","coding"
"BAnTr.GP.1HG001160","coding"
"BAnTr.GP.1HG001162","noncoding"
"BAnTr.GP.1HG001164","undefined"
"BAnTr.GP.1HG001166","noncoding"
"BAnTr.GP.1HG001168","undefined"
"BAnTr.GP.1HG001170","coding"
"BAnTr.GP.1HG001172","noncoding"
"BAnTr.GP.1HG001174","coding"
"BAnTr.GP.1HG001176","coding"
"BAnTr.GP.1HG001178","coding"
"BAnTr.GP.1HG001180","noncoding"
"BAnTr.GP.1HG001182","noncoding"
"BAnTr.GP.1HG001184","noncoding"
"BAnTr.GP.1HG001186","coding"
"BAnTr.GP.1HG001188","noncoding"
"BAnTr.GP.1HG001190","noncoding"
"BAnTr.GP.1HG001192","coding"
"BAnTr.GP.1HG001194","coding"
"BAnTr.GP.1HG001196","coding"
"BAnTr.GP.1HG001198","coding"
"BAnTr.GP.1HG001200","noncoding"
"BAnTr.GP.1HG001202","coding"
"BAnTr.GP.1HG001204","noncoding"
"BAnTr.GP.1HG001206","noncoding"
"BAnTr.GP.1HG001208","coding"
"BAnTr.GP.1HG001210","coding"
"BAnTr.GP.1HG001212","noncoding"
"BAnTr.GP.1HG001214","coding"
"BAnTr.GP.1HG001216","noncoding"
"BAnTr.GP.1HG001218","undefined"
"BAnTr.GP.1HG001220","noncoding"
"BAnTr.GP.1HG001222","noncoding"
"BAnTr.GP.1HG001224","noncoding"
"BAnTr.GP.1HG001226","noncoding"
"BAnTr.GP.1HG001228","coding"
"BAnTr.GP.1HG001230","noncoding"
"BAnTr.GP.1HG001232","noncoding"
"BAnTr.GP.1HG001234","coding"
"BAnTr.GP.1HG001236","noncoding"
"BAnTr.GP.1HG001238","coding"
"BAnTr.GP.1HG001240","coding"
"BAnTr.GP.1HG001242","undefined"
"BAnTr.GP.1HG001244","noncoding"
"BAnTr.GP.1HG001246","coding"
"BAnTr.GP.1HG001248","coding"
"BAnTr.GP.1HG001250","coding"
"BAnTr.GP.1HG001252","noncoding"
"BAnTr.GP.1HG001254","coding"
"BAnTr.GP.1HG001256","noncoding"
"BAnTr.GP.1HG001258","undefined"
"BAnTr.GP.1HG001260","coding"
"BAnTr.GP.1HG001262","coding"
"BAnTr.GP.1HG001264","noncoding"
"BAnTr.GP.1HG001266","coding"
"BAnTr.GP.1HG001268","noncoding"
"BAnTr.GP.1HG001270","coding"
"BAnTr.GP.1HG001272","coding"
"BAnTr.GP.1HG001274","noncoding"
"BAnTr.GP.1HG001276","coding"
"BAnTr.GP.1HG001278","coding"
"BAnTr.GP.1HG001280","noncoding"
"BAnTr.GP.1HG001282","noncoding"
"BAnTr.GP.1HG001284","noncoding"
"BAnTr.GP.1HG001286","coding"
"BAnTr.GP.1HG001288","coding"
"BAnTr.GP.1HG001290","coding"
"BAnTr.GP.1HG001292","noncoding"
"BAnTr.GP.1HG001294","coding"
"BAnTr.GP.1HG001296","coding"
"BAnTr.GP.1HG001298","undefined"
"BAnTr.GP.1HG001300","noncoding"
"BAnTr.GP.1HG001302","noncoding"
"BAnTr.GP.1HG001304","coding"
"BAnTr.GP.1HG001306","coding"
"BAnTr.GP.1HG001308","noncoding"
"BAnTr.GP.1HG001310","undefined"
"BAnTr.GP.1HG001312","noncoding"
"BAnTr.GP.1HG001314","coding"
"BAnTr.GP.1HG001316","coding"
"BAnTr.GP.1HG001318","coding"
"BAnTr.GP.1HG001320","coding"
"BAnTr.GP.1HG001322","noncoding"
"BAnTr.GP.1HG001324","noncoding"
"BAnTr.GP.1HG001326","coding"
"BAnTr.GP.1HG001328","coding"
"BAnTr.GP.1HG001330","noncoding"
"BAnTr.GP.1HG001332","undefined"
"BAnTr.GP.1HG001334","coding"
